date,channel,campaign,adgroup,impressions,clicks,spend,conversions,revenue_attributed
2025-04-01,Paid Search,Brand,default,16649,628,97.79,18,1177.08
2025-04-01,Paid Search,Non-Brand,default,11611,360,259.86,13,965.15
2025-04-01,Paid Search,Shopping,default,11497,333,176.78,6,451.84
2025-04-01,Paid Social,Prospecting,default,12857,308,107.06,2,133.89
2025-04-01,Paid Social,Retargeting,default,9873,118,62.06,0,0.0
2025-04-01,Paid Social,CreativeTest,default,12923,184,65.99,3,226.12
2025-04-01,Email,Welcome,default,4996,542,59.74,18,1388.7
2025-04-01,Email,Promo,default,500,26,64.2,3,209.25
2025-04-01,Email,Reactivation,default,2662,188,71.7,6,364.27
2025-04-02,Paid Search,Brand,default,9796,455,379.36,11,688.94
2025-04-02,Paid Search,Non-Brand,default,10849,436,248.98,18,1393.83
2025-04-02,Paid Search,Shopping,default,9307,428,318.03,10,799.97
2025-04-02,Paid Social,Prospecting,default,11921,212,48.89,4,332.54
2025-04-02,Paid Social,Retargeting,default,8206,157,42.34,1,66.3
2025-04-02,Paid Social,CreativeTest,default,14484,281,146.02,5,428.28
2025-04-02,Email,Welcome,default,2014,189,31.77,4,332.76
2025-04-02,Email,Promo,default,6602,577,65.99,24,1066.0
2025-04-02,Email,Reactivation,default,7459,842,46.04,22,1933.83
2025-04-03,Paid Search,Brand,default,10392,600,388.93,19,1068.28
2025-04-03,Paid Search,Non-Brand,default,8402,489,274.08,7,545.74
2025-04-03,Paid Search,Shopping,default,15479,759,301.79,19,1397.38
2025-04-03,Paid Social,Prospecting,default,10567,135,64.07,3,260.23
2025-04-03,Paid Social,Retargeting,default,10600,193,97.31,1,68.86
2025-04-03,Paid Social,CreativeTest,default,13366,370,160.55,6,349.95
2025-04-03,Email,Welcome,default,1130,32,81.83,0,0.0
2025-04-03,Email,Promo,default,2965,166,35.51,4,260.43
2025-04-03,Email,Reactivation,default,500,46,24.48,1,77.47
2025-04-04,Paid Search,Brand,default,16258,831,267.49,22,1374.4
2025-04-04,Paid Search,Non-Brand,default,11957,463,227.75,12,872.73
2025-04-04,Paid Search,Shopping,default,11197,549,221.26,18,1774.08
2025-04-04,Paid Social,Prospecting,default,8721,32,18.35,1,55.42
2025-04-04,Paid Social,Retargeting,default,11635,124,60.9,1,73.79
2025-04-04,Paid Social,CreativeTest,default,7973,151,49.24,4,254.73
2025-04-04,Email,Welcome,default,3686,263,43.45,4,239.62
2025-04-04,Email,Promo,default,874,45,64.93,1,51.79
2025-04-04,Email,Reactivation,default,940,75,93.97,2,164.21
2025-04-05,Paid Search,Brand,default,12539,554,292.74,22,1158.87
2025-04-05,Paid Search,Non-Brand,default,9416,280,153.33,7,311.52
2025-04-05,Paid Search,Shopping,default,16287,887,530.71,25,1314.92
2025-04-05,Paid Social,Prospecting,default,12607,134,53.53,2,91.14
2025-04-05,Paid Social,Retargeting,default,17540,162,84.0,2,128.57
2025-04-05,Paid Social,CreativeTest,default,14499,236,94.64,5,377.38
2025-04-05,Email,Welcome,default,4712,444,48.96,16,1087.02
2025-04-05,Email,Promo,default,1143,92,38.64,3,92.24
2025-04-05,Email,Reactivation,default,2020,182,84.2,8,343.84
2025-04-06,Paid Search,Brand,default,10306,472,307.57,14,1591.37
2025-04-06,Paid Search,Non-Brand,default,10165,424,316.82,19,1264.06
2025-04-06,Paid Search,Shopping,default,9317,386,243.62,8,331.92
2025-04-06,Paid Social,Prospecting,default,12598,359,140.1,11,928.36
2025-04-06,Paid Social,Retargeting,default,10918,193,114.11,2,118.36
2025-04-06,Paid Social,CreativeTest,default,9135,181,58.08,2,120.3
2025-04-06,Email,Welcome,default,500,31,58.11,1,51.29
2025-04-06,Email,Promo,default,6582,612,32.16,26,1477.57
2025-04-06,Email,Reactivation,default,500,44,53.58,2,109.16
2025-04-07,Paid Search,Brand,default,15665,535,403.84,22,1399.4
2025-04-07,Paid Search,Non-Brand,default,9949,554,241.92,16,1240.04
2025-04-07,Paid Search,Shopping,default,11541,555,281.37,15,846.25
2025-04-07,Paid Social,Prospecting,default,12852,332,114.04,5,340.94
2025-04-07,Paid Social,Retargeting,default,7943,259,95.95,4,332.98
2025-04-07,Paid Social,CreativeTest,default,5714,126,35.39,1,81.38
2025-04-07,Email,Welcome,default,3666,355,52.05,7,317.17
2025-04-07,Email,Promo,default,1154,70,61.44,3,177.24
2025-04-07,Email,Reactivation,default,3759,297,47.28,9,761.85
2025-04-08,Paid Search,Brand,default,12980,640,542.74,16,1496.9
2025-04-08,Paid Search,Non-Brand,default,10488,535,224.8,16,838.91
2025-04-08,Paid Search,Shopping,default,9355,378,257.79,5,222.56
2025-04-08,Paid Social,Prospecting,default,13827,174,66.46,3,193.42
2025-04-08,Paid Social,Retargeting,default,17177,337,148.78,5,230.77
2025-04-08,Paid Social,CreativeTest,default,12601,228,79.31,5,187.05
2025-04-08,Email,Welcome,default,500,46,103.07,0,0.0
2025-04-08,Email,Promo,default,2192,175,75.74,7,502.94
2025-04-08,Email,Reactivation,default,5753,395,39.87,13,465.99
