order_id,order_date,customer_id,product_id,quantity,unit_price,discount,cogs,channel,campaign,device,session_id,order_value
700001,2025-04-01,51494,10025,2,36.92,0.0,57.94,Organic,SEO,Mobile,SYN-20250401-87776,73.84
700002,2025-04-01,53477,10024,2,38.34,0.0,34.58,Paid Social,Retargeting,Desktop,SYN-20250401-91322,76.69
700003,2025-04-01,54555,10021,3,25.9,0.0,38.67,Organic,SEO,Mobile,SYN-20250401-23477,77.69
700004,2025-04-01,54632,10018,1,95.62,0.0,44.84,Email,Promo,Mobile,SYN-20250401-17346,95.62
700005,2025-04-01,54919,10033,1,42.73,0.0,19.57,Paid Search,Non-Brand,Desktop,SYN-20250401-93009,42.73
700006,2025-04-01,52162,10085,3,31.58,0.0,53.94,Paid Social,Retargeting,Mobile,SYN-20250401-32154,94.75
700007,2025-04-01,54576,10112,2,42.7,0.0,65.07,Email,Welcome,Desktop,SYN-20250401-98122,85.4
700008,2025-04-01,53006,10080,4,54.66,0.038,126.64,Email,Reactivation,Mobile,SYN-20250401-55015,210.44
700009,2025-04-01,53261,10071,1,89.12,0.0,45.27,Organic,SEO,Desktop,SYN-20250401-93090,89.12
700010,2025-04-01,51308,10099,1,67.04,0.0,46.63,Paid Social,Prospecting,Desktop,SYN-20250401-39574,67.04
700011,2025-04-01,53432,10032,1,103.13,0.043,40.54,Email,Welcome,Mobile,SYN-20250401-89753,98.74
700012,2025-04-01,52609,10011,1,48.05,0.0,26.12,Paid Search,Non-Brand,Mobile,SYN-20250401-67764,48.05
700013,2025-04-01,53045,10014,1,67.01,0.0,25.65,Paid Search,Shopping,Desktop,SYN-20250401-79107,67.01
700014,2025-04-01,50180,10013,3,24.34,0.0,36.48,Organic,SEO,Desktop,SYN-20250401-97875,73.02
700015,2025-04-01,54400,10028,1,23.19,0.0,12.07,Paid Social,CreativeTest,Mobile,SYN-20250401-81188,23.19
700016,2025-04-01,52839,10080,1,51.48,0.0,31.66,Paid Search,Brand,Mobile,SYN-20250401-11194,51.48
700017,2025-04-01,53041,10006,3,88.77,0.0,127.65,Organic,SEO,Mobile,SYN-20250401-38983,266.3
