session_id,date,customer_id,channel,device,landing_page,sessions,bounces
S20250401-Pa-De-6293,2025-04-01,,Paid Search,Desktop,/,83,30
S20250401-Pa-Mo-8259,2025-04-01,,Paid Search,Mobile,/,125,44
S20250401-Pa-De-1299,2025-04-01,,Paid Social,Desktop,/,81,41
S20250401-Pa-Mo-3386,2025-04-01,,Paid Social,Mobile,/,109,56
S20250401-Em-De-8242,2025-04-01,,Email,Desktop,/,4,1
S20250401-Em-Mo-7131,2025-04-01,,Email,Mobile,/,68,24
S20250401-Or-De-6948,2025-04-01,,Organic,Desktop,/,34,11
S20250401-Or-Mo-2805,2025-04-01,,Organic,Mobile,/,155,52
S20250401-Re-De-1067,2025-04-01,,Referral,Desktop,/,35,12
S20250401-Re-Mo-5089,2025-04-01,,Referral,Mobile,/,22,8
S20250402-Pa-De-7201,2025-04-02,,Paid Search,Desktop,/,98,45
S20250402-Pa-Mo-3640,2025-04-02,,Paid Search,Mobile,/,15,7
S20250402-Pa-De-9628,2025-04-02,,Paid Social,Desktop,/,8,3
S20250402-Pa-Mo-3365,2025-04-02,,Paid Social,Mobile,/,106,46
S20250402-Em-De-7383,2025-04-02,,Email,Desktop,/,22,6
S20250402-Em-Mo-2489,2025-04-02,,Email,Mobile,/,25,7
S20250402-Or-De-3327,2025-04-02,,Organic,Desktop,/,28,9
S20250402-Or-Mo-3784,2025-04-02,,Organic,Mobile,/,98,32
S20250402-Re-De-6691,2025-04-02,,Referral,Desktop,/,7,1
S20250402-Re-Mo-4532,2025-04-02,,Referral,Mobile,/,18,4
S20250403-Pa-De-9102,2025-04-03,,Paid Search,Desktop,/,139,48
S20250403-Pa-Mo-7025,2025-04-03,,Paid Search,Mobile,/,31,11
S20250403-Pa-De-3934,2025-04-03,,Paid Social,Desktop,/,62,28
S20250403-Pa-Mo-6917,2025-04-03,,Paid Social,Mobile,/,65,29
S20250403-Em-De-3274,2025-04-03,,Email,Desktop,/,5,1
S20250403-Em-Mo-4972,2025-04-03,,Email,Mobile,/,44,14
S20250403-Or-De-6251,2025-04-03,,Organic,Desktop,/,38,12
S20250403-Or-Mo-4499,2025-04-03,,Organic,Mobile,/,135,44
S20250403-Re-De-6782,2025-04-03,,Referral,Desktop,/,5,1
S20250403-Re-Mo-8926,2025-04-03,,Referral,Mobile,/,27,7
S20250404-Pa-De-4405,2025-04-04,,Paid Search,Desktop,/,37,14
S20250404-Pa-Mo-5494,2025-04-04,,Paid Search,Mobile,/,86,33
S20250404-Pa-De-9086,2025-04-04,,Paid Social,Desktop,/,33,17
S20250404-Pa-Mo-2666,2025-04-04,,Paid Social,Mobile,/,65,34
S20250404-Em-De-7051,2025-04-04,,Email,Desktop,/,7,3
S20250404-Em-Mo-5115,2025-04-04,,Email,Mobile,/,29,14
S20250404-Or-De-1368,2025-04-04,,Organic,Desktop,/,7,2
S20250404-Or-Mo-3849,2025-04-04,,Organic,Mobile,/,95,32
S20250404-Re-De-1059,2025-04-04,,Referral,Desktop,/,11,5
S20250404-Re-Mo-1544,2025-04-04,,Referral,Mobile,/,13,6
S20250405-Pa-De-9992,2025-04-05,,Paid Search,Desktop,/,34,12
S20250405-Pa-Mo-2485,2025-04-05,,Paid Search,Mobile,/,154,55
S20250405-Pa-De-1568,2025-04-05,,Paid Social,Desktop,/,71,36
S20250405-Pa-Mo-7490,2025-04-05,,Paid Social,Mobile,/,118,59
S20250405-Em-De-8711,2025-04-05,,Email,Desktop,/,41,8
S20250405-Em-Mo-5357,2025-04-05,,Email,Mobile,/,52,9
S20250405-Or-De-3380,2025-04-05,,Organic,Desktop,/,150,49
S20250405-Or-Mo-5560,2025-04-05,,Organic,Mobile,/,88,29
S20250405-Re-De-3407,2025-04-05,,Referral,Desktop,/,38,13
S20250405-Re-Mo-6497,2025-04-05,,Referral,Mobile,/,13,4
S20250406-Pa-De-8169,2025-04-06,,Paid Search,Desktop,/,4,1
S20250406-Pa-Mo-3121,2025-04-06,,Paid Search,Mobile,/,161,56
S20250406-Pa-De-4478,2025-04-06,,Paid Social,Desktop,/,51,24
S20250406-Pa-Mo-9353,2025-04-06,,Paid Social,Mobile,/,65,31
